algorithm,step,g_in,h,G_out,coverage,diversity,normalized_diversity
Greedy-HEP,26,age:<18|category:other|language:de,Mean is greater than 2,"age:<18|category:other|country:germany|language:de, age:<18|category:other|language:de|year_of_publication:2000s",0.9245283018867925,0.40816326530612246,0.40816326530612246
Greedy-HEP,27,age:45-49|language:de|year_of_publication:2000s,Mean is greater than 2,"age:45-49|category:other|language:de|year_of_publication:2000s, age:45-49|country:germany|language:de|year_of_publication:2000s",0.9661016949152542,0.2807017543859649,0.2807017543859649
Greedy-HEP,28,age:<18|language:de|year_of_publication:2000s,Mean is greater than 2,"age:<18|country:germany|language:de|year_of_publication:2000s, age:<18|category:other|language:de|year_of_publication:2000s",1.0,0.12121212121212122,0.12121212121212122
Greedy-HEP,29,country:romania|year_of_publication:2000s,Mean is greater than 2,country:romania|language:en|year_of_publication:2000s,1.0,0.0,0.0
Greedy-HEP,30,country:romania|year_of_publication:90s,Mean is greater than 2,country:romania|language:en|year_of_publication:90s,1.0,0.0,0.0
Greedy-HEP,31,age:45-49|country:germany|language:de|year_of_publication:2000s,Mean is greater than 2,age:45-49|category:other|country:germany|language:de|year_of_publication:2000s,0.9534883720930233,0.0,0.0
Greedy-HEP,32,age:<18|country:germany|language:de|year_of_publication:2000s,Mean is greater than 2,age:<18|category:other|country:germany|language:de|year_of_publication:2000s,0.9354838709677419,0.0,0.0
Greedy-HEP,33,age:<18|category:other|language:de|year_of_publication:2000s,Mean is greater than 2,age:<18|category:other|country:germany|language:de|year_of_publication:2000s,0.9354838709677419,0.0,0.0
Greedy-HEP,34,age:<18|category:other|language:de|year_of_publication:2000s,Mean is greater than 2,age:<18|category:other|country:germany|language:de|year_of_publication:2000s,0.9354838709677419,0.0,0.0
RL-HEP,0,country:canada,Mean is greater than 2,"country:canada|language:fr, category:Political Science|country:canada, country:canada|language:en",0.9997044917257684,2.965801514104423,0.9886005047014743
RL-HEP,1,country:canada|language:fr,Mean is greater than 2,"age:25-34|country:canada|language:fr, country:canada|language:fr|year_of_publication:2000s, category:Fiction|country:canada|language:fr",0.8243243243243243,1.9014227642276422,0.6338075880758808
RL-HEP,2,age:25-34|country:canada|language:fr,Mean is greater than 2,,0.0,0.0,0.0
RL-HEP,3,country:usa,Mean is greater than 2,"country:usa|language:en, country:usa|language:es, age:<18|country:usa",0.9997805284874023,2.954972364764144,0.9849907882547146
RL-HEP,4,country:usa|language:en,Mean is greater than 2,"category:Fiction|country:usa|language:en, country:usa|language:en|year_of_publication:30s, age:<18|country:usa|language:en",0.7806811444632309,2.971067882484723,0.9903559608282411
RL-HEP,5,category:Fiction|country:usa|language:en,Mean is greater than 2,"category:Fiction|country:usa|language:en|year_of_publication:90s, age:<18|category:Fiction|country:usa|language:en, category:Fiction|country:usa|language:en|year_of_publication:60s",0.6496123137232295,2.965943698856234,0.9886478996187447
RL-HEP,6,age:18-24,Mean is greater than 2,"age:18-24|language:en, age:18-24|language:de, age:18-24|language:it",0.9538383496787285,2.977936631002736,0.9926455436675786
RL-HEP,7,age:18-24|language:en,Mean is greater than 2,"age:18-24|category:Fiction|language:en, age:18-24|country:netherlands|language:en, age:18-24|country:france|language:en",0.7357753811825958,2.9820092764878785,0.9940030921626262
RL-HEP,8,age:18-24|category:Fiction|language:en,Mean is greater than 2,"age:18-24|category:Fiction|country:canada|language:en, age:18-24|category:Fiction|country:usa|language:en, age:18-24|category:Fiction|country:united kingdom|language:en",0.8152947154471545,3.0,1.0
RL-HEP,9,year_of_publication:90s,Mean is greater than 2,"language:de|year_of_publication:90s, country:romania|year_of_publication:90s, language:en|year_of_publication:90s",0.9766573515252566,2.9916201967301816,0.9972067322433938
RL-HEP,10,language:de|year_of_publication:90s,Mean is greater than 2,"category:other|language:de|year_of_publication:90s, age:45-49|language:de|year_of_publication:90s, category:Juvenile Fiction|language:de|year_of_publication:90s",0.9018987341772152,2.9523069557976416,0.9841023185992138
RL-HEP,11,category:other|language:de|year_of_publication:90s,Mean is greater than 2,"category:other|country:germany|language:de|year_of_publication:90s, age:45-49|category:other|language:de|year_of_publication:90s, category:other|country:switzerland|language:de|year_of_publication:90s",0.9075555555555556,2.9255122630516954,0.9751707543505651
RL-HEP,12,age:50-55,Mean is greater than 2,"age:50-55|country:france, age:50-55|language:en, age:50-55|language:de",0.9879889128426239,2.9924576689295863,0.9974858896431954
RL-HEP,13,age:50-55|country:france,Mean is greater than 2,,0.0,0.0,0.0
RL-HEP,14,age:>56,Mean is greater than 2,"age:>56|language:en, age:>56|country:switzerland, age:>56|country:germany",0.992728184553661,2.9941673769421917,0.9980557923140639
RL-HEP,15,age:>56|language:en,Mean is greater than 2,"age:>56|country:usa|language:en, age:>56|country:australia|language:en, age:>56|country:united kingdom|language:en",0.8802852776362711,3.0,1.0
RL-HEP,16,age:>56|country:usa|language:en,Mean is greater than 2,"age:>56|category:Fiction|country:usa|language:en, age:>56|category:Travel|country:usa|language:en, age:>56|category:Body, Mind & Spirit|country:usa|language:en",0.8122284295468652,2.8633644327625825,0.9544548109208608
RL-HEP,17,year_of_publication:60s,Mean is greater than 2,"age:<18|year_of_publication:60s, language:en|year_of_publication:60s, age:50-55|year_of_publication:60s",0.9677655677655678,2.915125094768764,0.9717083649229213
RL-HEP,18,age:<18|year_of_publication:60s,Mean is greater than 2,"age:<18|country:usa|year_of_publication:60s, age:<18|language:en|year_of_publication:60s",0.9787234042553191,0.17391304347826086,0.17391304347826086
RL-HEP,19,age:<18|country:usa|year_of_publication:60s,Mean is greater than 2,age:<18|country:usa|language:en|year_of_publication:60s,1.0,0.0,0.0
RL-HEP,20,language:it,Mean is greater than 2,"age:18-24|language:it, category:Fiction|language:it, category:Juvenile Fiction|language:it",0.9457700650759219,2.7989991981943865,0.9329997327314622
RL-HEP,21,age:18-24|language:it,Mean is greater than 2,"age:18-24|language:it|year_of_publication:90s, age:18-24|category:Fiction|language:it, age:18-24|country:italy|language:it",0.9433962264150944,0.56,0.18666666666666668
